title,genre,studio,total_gross,theaters,opening_gross,open_date
Inferno,Thriller,Sony,34343574,3576,14860425,10/28/16
Mother's Day,Comedy,ORF,32492859,3291,8369184,4/29/16
Patriots Day,Drama,LGF,31886361,3120,161306,12/21/16
Gods of Egypt,Action / Adventure,LG/S,31153464,3117,14123903,2/26/16
Collateral Beauty,Drama,WB (NL),31016021,3028,7102085,12/16/16
"Hail, Caesar!",Comedy,Uni.,30498085,2248,11355225,2/5/16
When the Bough Breaks,Drama,SGem,29747603,2246,14202323,9/9/16
Zoolander 2,Comedy,Par.,28848693,3418,13841146,2/12/16
Moonlight (2016),Drama,A24,27854932,1564,402075,10/21/16
The Finest Hours,Thriller,BV,27569558,3143,10288932,1/29/16
Florence Foster Jenkins,Drama,Par.,27383770,1528,6601313,8/12/16
Hell or High Water,Action Drama,LGF,27007844,1505,621329,8/12/16
The Forest,Horror,Focus,26594261,2509,12741176,1/8/16
Ben-Hur (2016),Historical Epic,Par.,26410477,3084,11203815,8/19/16
The Witch,Horror,A24,25138705,2204,8800230,2/19/16
Bridget Jones's Baby,Romantic Comedy,Uni.,24252420,2930,8571785,9/16/16
Kevin Hart: What Now?,Concert,Uni.,23591043,2567,11767210,10/14/16
